F,I
676,1199.875
677,1160.1875
678,1102.8125
679,1030.875
680,881
681,912.5
682,986.9375
683,1130.5625
684,1283.3125
685,1385.625
686,1421.0625
687,1437.5
688,1418.6875
689,1377.75
690,1321.0625
691,1300.8125
692,1283.0625
693,1229.5
694,1200.75
695,1163.8125
696,1115.1875
697,1102.5625
698,1041.875
699,916.1875
700,890.625
701,995.25
702,1130.5
703,1274.5
704,1394.3125
705,1444.75
706,1432.0625
707,1431.1875
708,1362.1875
709,1340.3125
710,1287.6875
711,1274.4375
712,1220.25
713,1244.9375
714,1203.5
715,1167.5625
716,1157.125
717,1109.5625
718,969.8125
719,848.875
720,879.125
721,958.625
722,1106.75
723,1237.0625
724,1393.75
725,1391.125
726,1438.25
727,1440.5625
728,1391.375
729,1344
730,1294.75
731,1265.75
732,1235.125
733,1211.5
734,1176.25
735,1158.0625
736,1097.6875
737,980.75
738,836.125
739,915.375
740,996.8125
741,1127
742,1280.1875
743,1387.3125
744,1413.625
745,1423.1875
746,1421.6875
747,1387.5625
748,1332.9375
749,1279.3125
750,1258.25
751,1234.875
752,1211.625
753,1196.25
754,1155.75
755,1027.5
756,918.8125
757,866.8125
758,972.6875
759,1073.4375
760,1246.3125
761,1345.75
762,1418.5
763,1463.8125
764,1463.5625
765,1350.9375
766,1347.25
767,1306.0625
768,1243.1875
769,1240.5
770,1247.625
771,1208.8125
772,1191.875
773,1163.1875
774,1103.3125
775,996.9375
776,856.625
777,883.25
778,1012.75
779,1151.1875
780,1325.5
781,1419.9375
782,1449.1875
783,1443.0625
784,1416.1875
785,1373.6875
786,1349.125
787,1279.375
788,1263.0625
789,1257.375
790,1198.9375
791,1135.4375
792,1100.3125
793,997.5625
794,895.25
795,929.5625
796,1039.5625
797,1159.5
798,1313.125
799,1431.6875
800,1444.4375
801,1443
802,1449.3125
803,1393.75
804,1352.3125
805,1303.4375
806,1241.3125
807,1235.0625
808,1209.625
809,1175.3125
810,1132.4375
811,1009.125
812,889.5
813,868.375
814,994.625
815,1074.8125
816,1248.9375
817,1386.9375
818,1450.6875
819,1430.375
820,1446.375
821,1380.8125
822,1336.25
823,1273.8125
824,1252.0625
825,1199.625
826,1151.75
827,1040.75
828,869.0625
829,856.6875
830,926.625
831,1088.3125
832,1214.3125
833,1358.875
834,1430.6875
835,1460
836,1433.6875
837,1413.0625
838,1338.75
839,1318.1875
840,1280.5625
841,1254.75
842,1212
843,1198.25
844,1148.75
845,1118
846,1053
847,909.375
848,914.25
849,1007.75
850,1152.5625
851,1284.9375
852,1403.3125
853,1503
854,1460.5
855,1394.625
856,1416.3125
857,1354.125
858,1292.8125
859,1263.625
860,1222.4375
861,1251.1875
862,1209.25
863,1170
864,1153.1875
865,1034
866,917
867,837.5625
868,973.5625
869,1056.5625
870,1257.125
871,1342.3125
872,1430.5
873,1420.8125
874,1421.625
875,1384.875
876,1359.25
877,1293.4375
878,1285.9375
