F,I
1158,702.6667
1159,698.4445
1160,741
1161,729
1162,622.4445
1163,462.5555
1164,435.2222
1165,438
1166,472.7778
1167,478.5555
1168,529.7778
1169,604.7778
1170,651.5555
1171,706.8889
1172,757.3333
1173,824.7778
1174,830.8889
1175,684.5555
1176,489.2222
1177,439
1178,418.7778
1179,439.1111
1180,458.8889
1181,480.4445
1182,562.1111
1183,595.4445
1184,673.5555
1185,755.2222
1186,706.6667
1187,717.7778
1188,700
1189,557
1190,433.1111
1191,428.7778
1192,440
1193,474.4445
1194,485.8889
1195,544.2222
1196,609.2222
1197,662.1111
1198,708.8889
1199,703.5555
1200,765
1201,734.8889
1202,657.7778
1203,456.8889
1204,430.4445
1205,438.4445
1206,455.1111
1207,478.6667
1208,500.8889
1209,568.6667
1210,638
1211,678.4445
1212,712
1213,728.3333
1214,750.3333
1215,682.4445
1216,534.7778
1217,440.4445
1218,406.8889
1219,421.5555
1220,431
1221,466.8889
1222,537.3333
1223,574.4445
1224,682.7778
1225,787.8889
1226,752.5555
1227,788.1111
1228,759.1111
1229,559
1230,443.1111
1231,403.4445
1232,424.1111
1233,471.4445
1234,468.5555
1235,531.6667
1236,577.8889
1237,663.8889
1238,692.3333
1239,691.2222
1240,737.4445
1241,718
1242,612
1243,436.4445
1244,428.8889
1245,425.6667
1246,451.2222
1247,476.1111
1248,529.4445
1249,601.4445
1250,637.7778
1251,684.7778
1252,708
1253,738.7778
1254,712
1255,649.8889
1256,483.4445
1257,415
1258,430.1111
1259,449.3333
1260,480.8889
1261,475.3333
1262,559
1263,659.6667
1264,704.5555
1265,703.6667
1266,741
1267,814.8889
1268,761.1111
1269,519
1270,435.2222
1271,426.7778
1272,432.7778
1273,456.4445
1274,469.5555
1275,546.6667
1276,600.6667
1277,660.3333
1278,686.7778
1279,695.5555
1280,733.2222
1281,709.2222
1282,543.4445
1283,431.2222
1284,422.6667
1285,420.3333
1286,464.1111
1287,477.1111
1288,541.5555
1289,617.3333
1290,655
1291,687.3333
1292,703.8889
1293,762.7778
1294,725
1295,622
1296,476.1111
1297,424.1111
1298,438
1299,463.4445
1300,450
1301,524.5555
1302,581.3333
1303,658.4445
1304,704.6667
1305,684.4445
1306,747.7778
1307,822.6667
1308,700.7778
1309,495.8889
1310,424.4445
1311,407.4445
1312,413.7778
1313,436.8889
1314,485.1111
1315,542.5555
1316,621.8889
1317,673.6667
1318,690.5555
1319,702.5555
1320,746.6667
1321,710.4445
1322,561.5555
1323,435.1111
1324,429.3333
1325,431.1111
1326,448.6667
1327,488.1111
1328,535
1329,592.6667
1330,649.7778
1331,686.8889
1332,701.3333
1333,722.7778
1334,756.7778
1335,597.4445
1336,453.7778
1337,422.2222
1338,426.4445
1339,475.5555
1340,478.7778
1341,516.4445
1342,569.6667
1343,652.2222
1344,689.3333
1345,767
1346,805.6667
1347,816.3333
1348,678.6667
1349,465.3333
1350,410.4445
1351,421.1111
1352,423.6667
1353,482.6667
1354,507.4445
1355,564.1111
1356,647.2222
1357,668.4445
1358,689.3333
1359,680.1111
1360,729.7778
1361,681
1362,507.2222
1363,442.8889
1364,420
1365,435.1111
1366,467
1367,487.5555
1368,547.6667
1369,606.8889
1370,661.1111
1371,701.3333
1372,705.2222
1373,719.1111
1374,691.3333
1375,500.4445
1376,438.2222
1377,423.2222
1378,442.6667
1379,441.4445
1380,474
1381,540.3333
1382,596.6667
1383,639
1384,693.2222
1385,716
1386,749.3333
1387,683.5555
1388,531.8889
1389,431.2222
1390,420.6667
1391,448.6667
1392,447.6667
1393,484.8889
1394,543.8889
1395,584.7778
1396,651.5555
