Class,Larva,Num_Peaks,Num_RR_Intervals,Mean_RR_ms,Std_RR_ms,Min_RR_ms,Max_RR_ms
2_Atropine 10 µM,Larva 03,979,978,306.4161554192229,11.710273081728134,275.0,325.0
2_Atropine 10 µM,Larva 04,899,898,333.43541202672606,15.080583613145905,300.0,375.0
2_Atropine 10 µM,Larva 05,1025,1024,292.3828125,11.820844337010946,275.0,325.0
2_Atropine 10 µM,Larva 06,1103,1102,272.005444646098,16.433829461056938,225.0,525.0
2_Atropine 10 µM,Larva 07,1089,1088,275.5055147058824,11.281490522601542,250.0,300.0
2_Atropine 10 µM,Larva 08,1040,1039,288.28200192492784,12.808592123295186,225.0,325.0
2_Atropine 10 µM,Larva 09,933,932,321.24463519313304,17.8469958513588,275.0,575.0
2_Atropine 10 µM,Larva 10,1058,1057,283.4673604541154,13.021237435353067,250.0,325.0
2_Atropine 10 µM,Larva 11,997,996,300.72791164658634,13.211564852037144,275.0,325.0
2_Atropine 10 µM,Larva 12,966,965,310.54404145077723,12.45049797111954,275.0,325.0
2_Atropine 10 µM,Larva 13,1026,1025,292.1951219512195,11.584723987354067,275.0,300.0
2_Atropine 10 µM,Larva 14,946,945,316.85185185185185,14.123763578764896,150.0,350.0
2_Atropine 10 µM,Larva 15,940,939,318.79659211927583,13.435054568618186,275.0,375.0
2_Atropine 10 µM,Larva 16,990,989,302.6794742163802,17.715861895952838,200.0,375.0
2_Atropine 10 µM,Larva 17,1021,1020,293.6029411764706,11.668803355170478,250.0,350.0
2_Atropine 10 µM,Larva 18,1112,1111,269.5994599459946,14.234020670310096,225.0,350.0
2_Atropine 10 µM,Larva 19,1084,1083,276.7543859649123,12.21788445367028,250.0,300.0
2_Atropine 10 µM,Larva 20,1005,1004,298.2818725099602,12.630246930664619,275.0,325.0
2_Atropine 10 µM,Larva 21,949,948,315.8755274261603,13.962854286545674,275.0,350.0
2_Atropine 10 µM,Larva 22,1055,1054,284.22675521821634,12.258862166433053,250.0,300.0
