F,I
674,995.0625
675,977.625
676,954.75
677,954.625
678,929.75
679,864.9375
680,803.3125
681,696.75
682,738.3125
683,755
684,862.0625
685,960.375
686,1075.4375
687,1151.625
688,1174
689,1205
690,1198.25
691,1154.5625
692,1086.0625
693,996.3125
694,928.875
695,900.625
696,797.5
697,719.9375
698,713.375
699,782.8125
700,870.625
701,987.5
702,1107.4375
703,1184.9375
704,1207.4375
705,1208.9375
706,1204.5
707,1144.5
708,1101.8125
709,1007.75
710,975.5
711,946.25
712,878.75
713,763.875
714,680.5625
715,703.0625
716,795.9375
717,864.9375
718,980.4375
719,1036.375
720,1155.1875
721,1217.375
722,1198.375
723,1210
724,1136.9375
725,1070.9375
726,998.875
727,943
728,889.375
729,750.8125
730,674.625
731,708.625
732,769.9375
733,842.375
734,980.25
735,1056.75
736,1168.625
737,1170.5625
738,1206.375
739,1189.875
740,1150.75
741,1044.375
742,998.5
743,910.125
744,883.1875
745,761.25
746,710.25
747,692.1875
748,754.75
749,818.9375
750,942.5625
751,1025.875
752,1142.75
753,1208.9375
754,1206.625
755,1214.5625
756,1166.9375
757,1092.1875
758,1034.25
759,949.4375
760,882.25
761,829.6875
762,715.1875
763,720.25
764,764.1875
765,836.6875
766,923.875
767,1051.625
768,1130.8125
769,1176.125
770,1176.6875
771,1211.25
772,1184.0625
773,1048.3125
774,1018.1875
775,923.75
776,922
777,833.4375
778,727.5625
779,680.3125
780,716.6875
781,797.5
782,911.375
783,1006.75
784,1123.125
785,1198.375
786,1201.5
787,1219.25
788,1188.5
789,1117.8125
790,1024.4375
791,993.8125
792,923.1875
793,861.625
794,752.25
795,698.1875
796,699.4375
797,797.1875
798,856.25
799,974.625
800,1068.3125
801,1142.375
802,1195.875
803,1183.875
804,1195.1875
805,1129.25
806,1059.125
807,1006.3125
808,944.75
809,886.375
810,816.1875
811,700.25
812,676.75
813,762.5625
814,783.375
815,882.875
816,1001.125
817,1088.9375
818,1126.5
819,1163.125
820,1178.9375
821,1146.75
822,1048.1875
823,992.4375
824,919.9375
825,890.5
826,804.875
827,699.1875
828,678.8125
829,710.5
830,768.1875
831,870.25
832,956.1875
833,1029.9375
834,1098.1875
835,1138.75
836,1160.75
837,1161.3125
838,1100.875
839,995.3125
840,948.4375
841,855.0625
842,795.5625
843,683.1875
844,694.75
845,720.5625
846,790
847,906.1875
848,1007.5625
849,1087.4375
850,1135.75
851,1183.875
852,1175.0625
853,1142.4375
854,1038.625
855,1003.8125
856,904.0625
857,869.75
858,778.8125
859,704.625
860,704.8125
861,751.25
862,855.625
863,918.625
864,1027.75
865,1125.1875
866,1185.375
867,1193.6875
868,1189.3125
869,1141.3125
870,1057.25
871,997.9375
872,946.5625
873,903.5
874,849.4375
875,776.625
876,696.25
877,702.6875
878,761.625
879,852.25
880,908.8125
881,1063.5
882,1138.75
883,1189.875
884,1167.25
885,1202.8125
886,1123.875
887,1047.8125
888,994.6875
889,928.4375
890,888.4375
891,829.125
892,708.6875
893,694.9375
894,731.5
895,791.1875
896,888.375
897,1001.75
898,1133.6875
899,1159.3125
900,1194
901,1194.9375
902,1164.6875
903,1081.125
904,1033.8125
905,958.875
906,893.5
907,800.75
908,697.25
909,681.8125
910,754.1875
911,848.3125
912,931.9375
913,1041.625
914,1112.0625
915,1163.3125
916,1177.6875
917,1179.1875
918,1135.3125
919,1070.625
920,1005.8125
921,946.25
922,863.125
923,784.5625
924,693.3125
925,676.875
926,731.5625
927,789.75
928,936.4375
929,1077.8125
930,1114.3125
931,1166.25
932,1201.75
933,1197.9375
934,1162.375
935,1038.625
936,987.0625
937,923.6875
938,871.625
939,785.3125
940,673.5625
941,713.25
942,737.6875
943,825.6875
944,903.9375
945,1044.25
946,1105.0625
947,1173.5
948,1173.9375
949,1185.5
950,1161.625
951,1067.25
952,1002.3125
953,931.25
954,893.125
955,808.9375
956,711.25
957,689.4375
958,767.75
959,843.4375
960,961.5
961,1046.9375
962,1122.8125
963,1159.625
964,1173.9375
965,1180.5625
966,1147.4375
967,1068.9375
968,998.125
969,944.0625
970,875.625
971,799.75
972,692
973,682.0625
974,734.125
975,827.5625
976,916.75
977,1070.3125
978,1107.5
979,1185.25
980,1204
981,1200.5
982,1153.4375
983,1089.1875
984,1019.1875
985,938.0625
986,885.25
987,800.5625
988,695.3125
989,681.875
990,766.125
991,817
992,932.625
993,1047.4375
994,1130.5
995,1196.0625
996,1185.3125
997,1193.125
998,1147.125
999,1092.125
1000,994.125
1001,962.125
1002,888
1003,820.4375
1004,709.8125
1005,716.8125
1006,748.9375
1007,830.875
1008,948.5
1009,1058.625
1010,1131.3125
1011,1166.625
1012,1159.3125
1013,1157.0625
1014,1140.0625
1015,1067.5625
1016,986.1875
1017,900
1018,864.6875
1019,783.5625
1020,712.6875
1021,675.6875
1022,767.0625
1023,822.4375
1024,964.1875
1025,1065.4375
1026,1130.375
1027,1167.8125
1028,1202.8125
1029,1188.0625
1030,1160.375
1031,1069.0625
1032,999.5625
1033,957.25
1034,853.625
1035,774.6875
1036,689.4375
1037,720
1038,772.3125
1039,877.125
1040,963.8125
1041,1058.0625
1042,1130.8125
1043,1170
1044,1199.3125
1045,1210.5
1046,1165.6875
1047,1068.0625
1048,973.6875
1049,914.25
1050,877.0625
1051,808.625
1052,726.1875
1053,697
1054,759.375
1055,860.8125
1056,961.375
1057,1071.8125
1058,1150.875
1059,1184.125
1060,1199.375
1061,1175.375
1062,1137.125
1063,1054.75
1064,949
1065,900
1066,852.6875
1067,768.5625
1068,685.9375
1069,708.0625
1070,772.9375
1071,841.875
1072,953.0625
1073,1069.875
1074,1131
1075,1175.6875
1076,1179.125
1077,1210.1875
1078,1173.375
1079,1065.6875
1080,1000.9375
1081,953.5
1082,907.5625
1083,822.8125
1084,725.375
1085,692.5625
1086,727.25
1087,800.875
1088,905.125
1089,1007.375
1090,1105.8125
1091,1172.75
1092,1191.5625
1093,1221.8125
1094,1179.25
1095,1134
1096,1009.75
1097,958.8125
1098,894.625
1099,825.125
1100,727.9375
1101,695.625
1102,722.9375
1103,826.25
1104,910.6875
1105,1015.4375
1106,1125.1875
1107,1178.375
1108,1230.0625
1109,1211.0625
1110,1192.8125
1111,1078.875
1112,1042.3125
1113,975.5
1114,929.8125
1115,859.5625
1116,740.8125
1117,679.3125
1118,722.3125
1119,777.9375
1120,861.875
1121,998.0625
1122,1097.8125
1123,1147.1875
1124,1162.125
1125,1192.75
1126,1201.6875
1127,1102.3125
1128,1021.5625
1129,952.5625
1130,905.9375
1131,867.25
1132,755.9375
1133,687.8125
1134,745.1875
1135,792.1875
1136,871.875
1137,980
1138,1076.9375
1139,1157.5625
1140,1199.5625
1141,1209.375
1142,1203.375
1143,1104.25
1144,1050.5
1145,991.625
1146,923.5
1147,852.625
1148,784.75
1149,676.8125
1150,711.875
1151,760.8125
1152,851.625
1153,952.9375
1154,1069.625
1155,1142.6875
1156,1207.125
1157,1203.25
1158,1225.5625
1159,1180.125
1160,1070.75
1161,1004.375
1162,930.5
1163,868.875
1164,781.375
1165,684.875
1166,691.1875
1167,758.1875
1168,873.3125
1169,953.5625
1170,1066
